time,close_fut,close_spot,basis,ma60,mid,std,upper,lower
2019-06-03,3613.8,3632.01,-18.210000000000036,,,,,
2019-06-04,3586.2,3598.47,-12.269999999999982,,,,,
2019-06-05,3574.6,3597.11,-22.51000000000022,,,,,
2019-06-06,3544.6,3564.68,-20.079999999999927,,,,,
2019-06-10,3591.8,3610.74,-18.9399999999996,,,,,
2019-06-11,3706.2,3719.28,-13.080000000000382,,,,,
2019-06-12,3676.0,3691.1,-15.099999999999909,,,,,
2019-06-13,3668.6,3685.39,-16.789999999999964,,,,,
2019-06-14,3645.0,3654.88,-9.88000000000011,,,,,
2019-06-17,3652.0,3654.82,-2.8200000000001637,,,,,
2019-06-18,3661.2,3667.62,-6.420000000000073,,,,,
2019-06-19,3718.4,3715.94,2.4600000000000364,,,,,
2019-06-20,3821.6,3828.52,-6.920000000000073,,,,,
2019-06-21,3809.2,3833.94,-24.740000000000236,,,,,
2019-06-24,3814.0,3841.27,-27.269999999999982,,,,,
2019-06-25,3773.0,3801.31,-28.309999999999945,,,,,
2019-06-26,3769.0,3794.33,-25.329999999999927,,,,,
2019-06-27,3813.8,3834.82,-21.019999999999982,,,,,
2019-06-28,3817.6,3825.59,-7.9900000000002365,,,,,
2019-07-01,3911.0,3935.81,-24.809999999999945,,-16.001500000000032,8.680137201801859,1.358774403603686,-33.36177440360375
2019-07-02,3913.0,3937.17,-24.170000000000073,,-16.299500000000034,8.86038402102298,1.4212680420459272,-34.020268042046
2019-07-03,3879.2,3893.53,-14.330000000000382,,-16.402500000000053,8.822971139975545,1.2434422799510365,-34.048442279951146
2019-07-04,3855.8,3873.1,-17.299999999999727,,-16.14200000000003,8.709336550960346,1.276673101920661,-33.56067310192073
2019-07-05,3874.6,3893.2,-18.59999999999991,,-16.06800000000003,8.680355073988935,1.2927101479778393,-33.428710147977895
2019-07-08,3780.0,3802.79,-22.789999999999964,,-16.260500000000047,8.789402994515568,1.3183059890310886,-33.83930598903118
2019-07-09,3771.4,3793.13,-21.730000000000018,,-16.69300000000003,8.837352604294507,0.9817052085889841,-34.367705208589044
2019-07-10,3772.6,3786.74,-14.139999999999873,,-16.645000000000028,8.849059718113342,1.0531194362266554,-34.343119436226715
2019-07-11,3769.2,3785.22,-16.019999999999982,,-16.60650000000003,8.850070636054676,1.0936412721093234,-34.30664127210938
2019-07-12,3799.8,3808.73,-8.929999999999836,,-16.559000000000015,8.890530088985551,1.2220601779710876,-34.34006017797112
2019-07-15,3817.8,3824.19,-6.389999999999873,,-16.7375,8.632253395505165,0.5270067910103293,-34.00200679101033
2019-07-16,3803.4,3806.84,-3.4400000000000546,,-16.5885,8.842864667420603,1.0972293348412059,-34.27422933484121
2019-07-17,3794.6,3804.64,-10.039999999999964,,-17.2135,7.806724007984525,-1.6000519840309497,-32.82694801596905
2019-07-18,3770.6,3768.4,2.199999999999818,,-16.757500000000004,8.659412205042653,0.5613244100853017,-34.076324410085306
2019-07-19,3799.4,3807.96,-8.559999999999945,,-15.94849999999999,8.630155377633978,1.311810755267965,-33.20881075526795
2019-07-22,3769.2,3781.68,-12.480000000000018,,-15.208999999999993,8.233528948595968,1.258057897191943,-31.676057897191928
2019-07-23,3780.0,3789.91,-9.909999999999854,,-14.288999999999987,7.703533638942282,1.1180672778845775,-29.696067277884552
2019-07-24,3810.0,3819.83,-9.829999999999927,,-13.513999999999987,7.303606463140021,1.0932129262800547,-28.12121292628003
2019-07-25,3848.8,3851.07,-2.269999999999982,,-12.576499999999987,7.49041512095359,2.404330241907193,-27.557330241907167
2019-07-26,3851.8,3858.57,-6.769999999999982,,-12.515499999999975,7.534569784805569,2.553639569611164,-27.584639569611113
2019-07-29,3843.6,3854.27,-10.670000000000073,,-11.808499999999981,6.961848117456034,2.115196234912087,-25.73219623491205
2019-07-30,3861.4,3870.32,-8.920000000000073,,-11.045999999999982,6.344445892606398,1.6428917852128144,-23.734891785212778
2019-07-31,3838.0,3835.36,2.6399999999998727,,-10.197499999999968,6.984610055799697,3.7717201115994268,-24.16672011159936
2019-08-01,3798.4,3803.47,-5.069999999999709,,-9.585999999999967,6.864392793325004,4.142785586650042,-23.314785586649975
2019-08-02,3740.0,3747.44,-7.440000000000055,,-9.027999999999974,6.538967084051997,4.04993416810402,-22.105934168103968
2019-08-05,3667.0,3675.69,-8.690000000000055,,-8.322999999999979,5.680922923536069,3.0388458470721584,-19.68484584707212
2019-08-06,3625.8,3636.33,-10.529999999999745,,-7.762999999999965,4.768515271521779,1.774030543043593,-17.300030543043523
2019-08-07,3598.2,3621.43,-23.230000000000018,,-8.217499999999973,5.742118511490313,3.266737022980653,-19.7017370229806
2019-08-08,3638.8,3669.29,-30.48999999999978,,-8.940999999999963,7.438105234109254,5.9352104682185445,-23.81721046821847
2019-08-09,3621.6,3633.53,-11.930000000000291,,-9.090999999999985,7.46806104618013,5.845122092360274,-24.027122092360244
2019-08-12,3672.8,3699.1,-26.299999999999727,,-10.086499999999978,8.362512386899736,6.638524773799494,-26.811524773799448
2019-08-13,3652.2,3665.75,-13.550000000000182,,-10.591999999999985,8.244327938521959,5.8966558770439335,-27.080655877043903
2019-08-14,3673.4,3682.4,-9.0,,-10.539999999999987,8.25126975874489,5.962539517489793,-27.042539517489764
2019-08-15,3674.6,3694.0,-19.40000000000009,,-11.619999999999981,7.9021968963999525,4.1843937927999235,-27.424393792799886
2019-08-16,3684.8,3710.54,-25.73999999999978,,-12.478999999999974,8.465728992143566,4.4524579842871574,-29.410457984287106
2019-08-19,3783.4,3791.09,-7.690000000000055,,-12.239499999999975,8.533186284026252,4.826872568052529,-29.30587256805248
2019-08-20,3772.0,3787.73,-15.730000000000018,,-12.530499999999984,8.548787217771643,4.567074435543303,-29.62807443554327
2019-08-21,3775.0,3781.76,-6.760000000000218,,-12.376999999999999,8.627032849680852,4.8770656993617045,-29.631065699361702
2019-08-22,3777.2,3793.51,-16.3100000000004,,-13.079000000000018,8.327346136927988,3.5756922738559567,-29.733692273855993
2019-08-23,3805.2,3820.86,-15.66000000000031,,-13.523500000000036,8.209287599708993,2.895075199417951,-29.94207519941802
2019-08-26,3762.2,3765.91,-3.7100000000000364,-13.66183333333335,-13.175500000000033,8.479684375332738,3.7838687506654427,-30.13486875066551
2019-08-27,3803.4,3816.95,-13.549999999999727,-13.584166666666677,-13.407000000000016,8.420385726881678,3.43377145376334,-30.24777145376337
2019-08-28,3795.0,3802.58,-7.579999999999927,-13.506000000000009,-13.918000000000006,7.672165411750611,1.4263308235012158,-29.26233082350123
2019-08-29,3782.2,3790.19,-7.9900000000002365,-13.26400000000001,-14.064000000000032,7.521226383761382,0.9784527675227324,-29.106452767522796
